,name,date,NOX,Pre-Shelter in place mean,Post-Shelter in place mean
489,Oakland-West,2020-03-02,0.006473913043478261,0.01818764397517645,
490,Oakland-Laney College                   ,2020-03-02,0.009836363636363636,0.01818764397517645,
491,Sebastopol-103 Morris Street            ,2020-03-02,0.0038347826086956526,0.01818764397517645,
492,San Jose-Knox Avenue                    ,2020-03-02,0.015769565217391302,0.01818764397517645,
493,Berkeley-Aquatic Park                   ,2020-03-02,0.018015789473684214,0.01818764397517645,
494,Napa-Valley College,2020-03-02,0.0053391304347826084,0.01818764397517645,
495,Pleasanton-Owens Ct                     ,2020-03-02,0.02091739130434783,0.01818764397517645,
496,Redwood City,2020-03-03,0.022150000000000006,0.01818764397517645,
497,San Francisco-Arkansas Street,2020-03-03,0.02771428571428571,0.01818764397517645,
498,Vallejo-304 Tuolumne Street,2020-03-03,0.014391304347826088,0.01818764397517645,
499,San Rafael,2020-03-03,0.019699999999999995,0.01818764397517645,
500,Concord-2956-A Treat Blvd,2020-03-03,0.009147826086956521,0.01818764397517645,
501,Oakland-9925 International Blvd,2020-03-03,0.02023181818181818,0.01818764397517645,
502,Livermore-793 Rincon Avenue,2020-03-03,0.011949999999999999,0.01818764397517645,
503,San Jose-Jackson Street,2020-03-03,0.029090909090909087,0.01818764397517645,
504,San Pablo-Rumrill Blvd,2020-03-03,0.01201304347826087,0.01818764397517645,
505,Oakland-West,2020-03-03,0.03316521739130435,0.01818764397517645,
506,Oakland-Laney College                   ,2020-03-03,0.04534347826086956,0.01818764397517645,
507,Sebastopol-103 Morris Street            ,2020-03-03,0.0075608695652173916,0.01818764397517645,
508,San Jose-Knox Avenue                    ,2020-03-03,0.036313043478260865,0.01818764397517645,
509,Berkeley-Aquatic Park                   ,2020-03-03,0.034186363636363626,0.01818764397517645,
510,Napa-Valley College,2020-03-03,0.011465,0.01818764397517645,
511,Pleasanton-Owens Ct                     ,2020-03-03,0.03241304347826087,0.01818764397517645,
512,Redwood City,2020-03-04,0.019571428571428573,0.01818764397517645,
513,San Francisco-Arkansas Street,2020-03-04,0.025982608695652176,0.01818764397517645,
514,Vallejo-304 Tuolumne Street,2020-03-04,0.018108695652173913,0.01818764397517645,
515,San Rafael,2020-03-04,0.019743478260869564,0.01818764397517645,
516,Concord-2956-A Treat Blvd,2020-03-04,0.012208695652173912,0.01818764397517645,
517,Oakland-9925 International Blvd,2020-03-04,0.029078260869565217,0.01818764397517645,
518,Livermore-793 Rincon Avenue,2020-03-04,0.028965217391304348,0.01818764397517645,
519,San Jose-Jackson Street,2020-03-04,0.02893181818181817,0.01818764397517645,
520,San Pablo-Rumrill Blvd,2020-03-04,0.01205217391304348,0.01818764397517645,
521,Oakland-West,2020-03-04,0.02697826086956522,0.01818764397517645,
522,Oakland-Laney College                   ,2020-03-04,0.03797391304347826,0.01818764397517645,
